EmployeeId,MonthlyIncome,DailyRate,Department,EnvironmentSatisfaction,JobSatisfaction,StockOptionLevel,WorkLifeBalance,NumCompaniesWorked,YearsInCurrentRole,PercentSalaryHike,YearsWithCurrManager,Attrition
43,2426,809,Research & Development,1,2,1,3,0,4,13,3,0.0
44,6524,379,Sales,2,2,1,3,1,8,14,3,0.0
45,2377,1330,Research & Development,1,3,1,2,1,1,20,0,1.0
46,4152,288,Research & Development,3,4,3,3,1,10,19,8,0.0
47,5343,345,Sales,1,4,1,3,1,7,11,9,0.0
48,2064,330,Human Resources,3,3,1,4,0,3,21,3,0.0
49,9526,216,Research & Development,4,3,0,3,0,7,21,8,0.0
50,3447,1343,Sales,3,3,0,3,1,2,11,2,0.0
51,10221,950,Research & Development,3,3,0,4,3,5,21,6,0.0
52,19331,264,Sales,3,3,1,3,4,0,16,0,0.0
53,4724,426,Research & Development,3,4,1,3,1,7,13,2,0.0
54,6397,1479,Research & Development,3,2,1,1,1,5,20,4,0.0
55,3722,523,Research & Development,2,4,1,1,6,2,13,2,1.0
56,2141,241,Research & Development,2,2,1,2,1,4,12,1,0.0
57,2370,1062,Research & Development,3,2,1,3,1,0,13,7,0.0
58,5396,929,Sales,4,4,0,2,1,7,12,8,0.0
59,2768,1303,Research & Development,4,3,1,3,3,3,12,7,0.0
60,11878,553,Research & Development,4,2,2,3,6,6,11,8,0.0
61,5070,983,Research & Development,1,4,3,3,5,0,13,4,0.0
62,2404,660,Sales,4,3,1,3,1,0,13,0,0.0
63,3833,921,Research & Development,4,3,2,3,3,2,21,2,0.0
64,3346,1145,Research & Development,2,2,1,2,4,0,20,0,0.0
65,10609,625,Sales,1,3,0,1,5,1,11,7,1.0
66,16704,1005,Research & Development,4,2,0,3,1,6,11,6,0.0
67,3482,585,Sales,1,4,2,2,2,8,15,0,0.0
68,2288,1380,Research & Development,3,4,0,3,1,2,12,1,0.0
69,5346,1372,Sales,1,3,0,2,8,3,13,3,1.0
70,3540,728,Sales,2,3,1,3,1,8,21,8,0.0
71,13247,322,Research & Development,4,3,1,2,2,3,11,2,0.0
72,4789,271,Research & Development,3,1,1,3,4,2,25,2,0.0
73,5454,1488,Sales,2,1,1,2,5,3,21,3,0.0
74,2177,142,Research & Development,3,4,1,3,3,0,17,0,0.0
75,17875,605,Sales,4,4,1,2,4,0,13,0,0.0
76,3978,471,Research & Development,1,3,1,2,8,2,12,2,0.0
77,5265,926,Research & Development,3,3,1,3,2,3,16,2,0.0
78,4805,561,Sales,4,2,1,4,0,7,19,7,0.0
79,6583,1079,Sales,3,4,1,3,2,2,11,4,0.0
80,5433,1130,Research & Development,4,2,1,3,1,8,12,9,0.0
81,2693,1427,Research & Development,4,4,0,2,1,0,19,0,1.0
82,2819,885,Research & Development,1,1,1,4,2,2,16,2,0.0
83,2105,207,Research & Development,2,3,0,3,4,2,12,0,0.0
84,5940,1147,Sales,4,1,1,3,2,2,14,5,0.0
85,3376,509,Research & Development,2,3,0,3,1,6,13,8,0.0
86,10851,1038,Research & Development,2,1,1,3,2,7,18,7,0.0
87,6652,1120,Sales,2,4,1,2,4,3,13,0,0.0
88,8865,1052,Sales,4,4,0,3,6,7,12,8,0.0
89,7314,1254,Sales,3,2,3,3,5,7,21,7,0.0
90,5087,419,Sales,2,4,2,3,3,0,12,0,0.0
91,3986,1157,Research & Development,2,4,1,4,1,10,14,13,0.0
92,4284,783,Research & Development,4,1,1,3,5,3,22,4,0.0
93,10239,111,Sales,1,4,1,3,3,0,14,0,0.0
94,2814,457,Research & Development,2,3,0,2,1,2,14,3,0.0
95,9547,1069,Research & Development,4,3,0,2,1,9,17,9,0.0
96,5373,136,Research & Development,1,1,1,2,0,3,12,2,0.0
97,4900,405,Research & Development,2,3,1,2,0,9,24,8,0.0
98,10448,1168,Sales,1,1,0,2,6,2,13,2,0.0
99,2622,147,Research & Development,3,2,0,3,6,2,21,1,0.0
100,2314,300,Research & Development,4,4,1,3,0,0,12,2,0.0
101,2625,251,Research & Development,1,3,0,1,1,2,20,2,1.0
102,2351,296,Sales,4,3,1,2,0,2,16,0,1.0
103,3537,1441,Research & Development,1,2,1,3,5,2,12,2,0.0
104,9981,1242,Sales,4,3,0,3,1,7,14,7,0.0
105,13225,1319,Sales,1,1,1,3,2,17,12,8,0.0
106,2741,917,Research & Development,3,3,1,3,1,7,14,7,0.0
107,19545,1360,Research & Development,2,3,0,3,1,15,12,8,1.0
108,4735,1189,Research & Development,4,4,2,4,7,11,15,9,0.0
109,7725,1296,Research & Development,3,4,1,1,3,11,23,7,0.0
110,1904,247,Research & Development,3,3,0,3,1,0,12,0,1.0
111,2279,894,Research & Development,4,2,0,2,1,7,16,3,0.0
112,4775,1230,Research & Development,4,4,2,1,6,2,22,2,0.0
113,2436,813,Research & Development,3,4,1,1,5,4,13,4,1.0
114,4523,1368,Research & Development,4,4,3,4,0,5,11,4,0.0
115,2720,806,Research & Development,2,4,1,3,1,7,18,8,0.0
116,6472,792,Research & Development,4,4,1,3,1,8,15,8,0.0
117,5363,817,Research & Development,4,4,1,3,0,7,12,0,0.0
118,5294,305,Research & Development,3,3,1,3,3,0,16,7,0.0
119,8834,142,Sales,1,2,1,3,1,5,13,7,0.0
120,3069,170,Research & Development,3,3,1,3,0,8,15,7,0.0
121,19845,266,Sales,1,4,1,3,1,14,15,9,1.0
122,6929,218,Sales,2,4,1,2,4,7,11,7,0.0
123,2642,1396,Sales,3,3,0,3,1,0,11,0,0.0
124,2408,329,Research & Development,3,2,3,3,1,1,17,0,0.0
125,2867,157,Research & Development,3,1,0,2,0,7,13,6,0.0
126,4707,1474,Sales,4,3,0,3,8,2,12,2,1.0
127,9884,1097,Research & Development,3,1,1,3,2,0,13,3,0.0
128,19740,920,Research & Development,3,4,1,3,3,7,14,7,0.0
129,2500,134,Research & Development,3,4,0,4,0,1,14,2,0.0
130,7879,921,Research & Development,3,4,1,3,1,7,19,7,0.0
131,8938,930,Sales,3,2,1,3,2,4,11,4,0.0
132,5399,1297,Research & Development,2,3,0,3,4,2,12,3,0.0
133,6694,309,Sales,4,4,3,3,2,0,14,0,0.0
134,2394,135,Research & Development,4,3,0,3,1,2,13,7,1.0
135,3201,1451,Research & Development,1,2,0,1,0,3,17,4,0.0
136,8793,294,Research & Development,4,1,2,2,1,7,21,7,0.0
137,6334,342,Sales,4,3,2,3,4,0,19,0,0.0
138,2539,199,Research & Development,4,3,1,3,1,2,13,2,0.0
139,2793,319,Sales,1,4,1,3,4,8,17,8,0.0
140,6812,1062,Research & Development,3,1,0,3,1,9,19,8,0.0
141,18265,715,Research & Development,4,4,0,4,6,0,12,0,0.0
142,5228,676,Research & Development,3,2,1,3,0,7,15,5,0.0
143,6474,977,Research & Development,4,4,1,2,1,8,13,11,0.0
144,4035,1229,Research & Development,4,3,0,3,0,2,16,2,0.0
145,5968,1303,Research & Development,4,3,3,3,1,7,20,8,0.0
146,8686,702,Sales,1,4,0,4,4,3,22,7,0.0
147,4403,117,Sales,2,4,1,2,2,2,11,3,0.0
148,3312,634,Research & Development,2,4,2,3,3,2,17,2,0.0
149,3660,857,Research & Development,3,3,0,4,3,7,13,7,0.0
150,4739,957,Research & Development,2,3,0,3,4,2,12,2,0.0
151,8620,1246,Sales,3,3,2,3,1,7,14,4,0.0
152,3579,1465,Research & Development,4,2,1,3,0,9,21,7,0.0
153,17444,722,Sales,4,3,0,3,1,8,11,0,0.0
154,4765,177,Research & Development,1,2,1,4,4,0,21,0,0.0
155,13191,458,Research & Development,1,1,0,3,3,0,17,0,0.0
156,3452,921,Research & Development,3,1,1,3,6,4,20,3,0.0
157,6306,667,Research & Development,3,3,1,2,1,12,21,9,0.0
158,4774,1131,Research & Development,4,1,1,2,0,6,19,3,0.0
159,2148,920,Human Resources,4,2,0,3,0,1,11,4,0.0
160,2400,535,Sales,4,4,2,3,0,2,13,1,0.0
161,4449,1063,Research & Development,2,3,2,3,3,11,15,7,0.0
162,9602,558,Sales,4,3,1,2,4,0,11,0,0.0
163,5605,1395,Research & Development,2,2,1,3,1,7,11,13,0.0
164,2932,181,Research & Development,4,4,3,3,0,0,14,2,0.0
165,5160,436,Sales,3,4,0,2,4,7,16,3,1.0
166,6125,507,Sales,3,1,0,4,1,8,12,6,0.0
167,1200,812,Sales,4,3,0,3,1,0,12,0,0.0
168,16015,334,Sales,4,2,0,3,1,10,19,4,0.0
169,4768,383,Sales,1,3,1,2,7,0,12,0,0.0
170,6825,691,Sales,3,2,1,3,0,7,11,2,0.0
171,13734,313,Research & Development,4,2,0,3,3,7,18,0,0.0
172,3730,515,Research & Development,4,3,0,1,0,2,14,2,1.0
173,2936,355,Research & Development,3,3,2,2,3,3,22,3,0.0
174,11557,688,Sales,3,4,1,2,9,4,21,1,0.0
175,4148,853,Research & Development,3,1,1,3,1,3,12,3,0.0
176,2422,109,Research & Development,2,2,0,3,0,2,17,2,1.0
177,2543,329,Research & Development,4,3,1,3,4,2,13,2,0.0
178,2207,895,Research & Development,1,3,1,2,1,2,16,2,0.0
179,9957,1176,Research & Development,3,1,1,2,0,2,15,2,0.0
180,2014,890,Sales,4,4,0,3,1,2,13,2,0.0
181,10512,1429,Research & Development,4,4,0,2,6,7,12,4,0.0
182,10920,1485,Research & Development,3,3,1,3,3,4,21,5,0.0
183,3445,1054,Research & Development,3,4,0,2,1,2,11,4,0.0
184,4554,442,Sales,2,4,0,2,1,7,18,9,0.0
185,9950,988,Human Resources,2,1,3,3,9,2,15,2,1.0
186,4485,506,Research & Development,3,2,0,3,4,0,12,7,0.0
187,3204,201,Research & Development,4,1,1,3,5,2,14,2,0.0
188,6712,704,Sales,4,3,2,3,1,7,21,7,0.0
189,12808,269,Research & Development,3,4,1,3,1,8,16,8,0.0
190,9985,1001,Research & Development,3,1,1,2,8,0,16,0,0.0
191,11510,343,Research & Development,3,4,1,3,0,10,14,9,0.0
192,7644,557,Sales,1,4,2,3,0,7,19,4,0.0
193,5042,711,Research & Development,1,3,0,1,0,2,13,8,0.0
194,2791,793,Sales,3,4,1,3,0,2,12,2,0.0
195,5304,501,Sales,3,4,1,2,7,7,23,7,0.0
196,13320,1448,Sales,4,4,1,3,3,11,18,11,0.0
197,2500,650,Research & Development,2,1,1,4,1,3,14,2,0.0
198,4393,337,Sales,3,2,1,3,5,4,21,4,0.0
199,1416,1334,Research & Development,3,1,0,2,1,0,13,0,1.0
200,10748,1238,Research & Development,3,3,1,2,3,15,23,4,0.0
201,5473,1342,Sales,1,1,0,4,0,4,12,1,0.0
202,2436,1037,Research & Development,2,4,0,3,6,3,12,2,0.0
203,2356,1222,Research & Development,4,4,1,3,3,4,19,2,0.0
204,10096,377,Sales,1,4,1,4,4,7,11,3,1.0
205,2450,346,Research & Development,4,4,0,3,2,2,17,2,0.0
206,3580,1418,Research & Development,3,1,1,3,2,2,16,2,0.0
207,4615,1003,Research & Development,4,1,3,3,8,13,23,7,0.0
208,3929,140,Research & Development,3,4,1,3,8,2,23,2,0.0
209,11245,1234,Research & Development,2,3,1,3,2,8,15,13,0.0
210,19701,1055,Research & Development,4,1,1,3,3,8,21,5,0.0
211,4568,1065,Sales,2,3,0,3,0,5,20,7,0.0
212,4684,572,Sales,3,4,0,3,1,3,13,2,0.0
213,2194,664,Research & Development,2,1,1,2,4,2,13,2,0.0
214,3298,334,Research & Development,1,2,2,2,0,2,12,5,0.0
215,4230,144,Research & Development,4,3,0,3,0,4,15,3,0.0
216,2994,265,Research & Development,2,4,0,3,1,0,12,1,0.0
217,8463,866,Sales,4,1,0,3,0,4,18,3,0.0
218,10400,1045,Sales,4,4,0,2,1,8,11,8,1.0
219,5562,422,Research & Development,4,4,1,2,4,2,13,2,0.0
220,3907,506,Research & Development,2,1,3,4,1,2,13,2,0.0
221,5731,367,Research & Development,3,4,2,3,7,2,13,3,0.0
222,16413,301,Research & Development,1,2,2,3,3,2,16,2,0.0
223,6553,1261,Research & Development,4,3,0,3,9,0,14,0,0.0
224,6347,1240,Human Resources,3,4,0,1,0,9,19,7,0.0
225,2306,1436,Sales,2,3,1,1,2,7,20,5,0.0
226,4907,635,Sales,2,3,0,3,1,16,25,6,0.0
227,2083,160,Research & Development,3,3,1,3,1,0,20,0,0.0
228,5003,1125,Research & Development,4,1,0,3,1,8,21,7,0.0
229,2413,867,Sales,3,2,3,3,1,0,18,0,1.0
230,16598,447,Research & Development,4,2,0,2,4,8,12,8,0.0
231,6513,1194,Research & Development,3,4,1,3,4,3,17,3,0.0
232,5878,824,Research & Development,4,2,1,3,3,1,12,5,0.0
233,2297,1090,Sales,4,2,2,3,1,2,14,2,0.0
234,13758,481,Sales,3,1,0,2,0,9,12,14,1.0
235,2553,702,Research & Development,3,4,0,3,1,2,16,3,0.0
236,4936,1169,Human Resources,2,4,1,3,1,1,13,4,0.0
237,16064,1034,Sales,4,4,1,3,5,13,22,9,0.0
238,4978,543,Sales,3,2,1,1,7,0,11,0,0.0
239,6502,228,Sales,3,4,1,4,4,4,14,1,0.0
240,5985,1112,Human Resources,1,3,0,4,4,2,11,2,0.0
241,2029,999,Research & Development,1,3,3,3,1,4,20,0,0.0
242,5747,735,Research & Development,3,4,0,3,1,10,15,11,0.0
243,5467,1169,Research & Development,3,2,1,4,8,7,18,7,0.0
244,5253,304,Sales,2,4,0,3,1,5,16,7,0.0
245,8396,300,Sales,3,1,1,2,1,7,14,5,0.0
246,6500,1111,Sales,3,1,1,3,5,2,17,2,0.0
247,5933,625,Research & Development,4,2,0,2,9,2,12,3,0.0
248,3424,180,Research & Development,1,1,0,2,7,3,13,1,0.0
249,2960,699,Research & Development,2,1,0,3,2,2,11,3,1.0
250,19566,422,Research & Development,1,1,0,1,5,8,11,10,0.0
251,9204,601,Sales,4,4,1,2,4,3,12,3,0.0
252,9854,1475,Sales,4,3,0,3,3,0,11,2,0.0
253,4678,188,Research & Development,2,4,0,3,2,2,18,1,0.0
254,9756,176,Human Resources,3,3,2,4,4,0,21,3,0.0
255,4025,1109,Research & Development,4,3,0,3,9,7,12,7,0.0
256,16799,1147,Human Resources,3,1,1,3,0,7,14,9,0.0
257,10368,1277,Sales,3,4,1,2,4,6,12,3,0.0
258,6380,575,Sales,3,3,2,3,2,4,12,0,1.0
259,3902,835,Research & Development,4,4,3,3,8,2,14,2,0.0
260,5744,240,Sales,3,3,0,3,1,4,11,3,1.0
261,5869,469,Sales,3,3,0,3,9,2,11,4,0.0
262,2774,1127,Research & Development,2,3,1,3,0,3,12,2,0.0
263,4014,1137,Research & Development,4,4,1,1,1,6,25,7,0.0
264,8120,817,Sales,2,2,0,3,3,2,12,2,0.0
265,17399,1126,Research & Development,4,4,1,2,9,4,22,3,0.0
266,17779,685,Research & Development,4,4,0,3,3,9,14,9,0.0
267,2476,202,Sales,3,2,1,3,1,0,18,0,0.0
268,4559,542,Sales,2,3,1,3,3,2,11,2,1.0
269,5238,1162,Sales,4,3,0,2,4,0,18,0,1.0
270,10650,1150,Research & Development,1,4,0,3,2,2,15,3,1.0
271,3162,981,Research & Development,3,3,0,3,3,2,14,3,0.0
272,18740,989,Research & Development,2,3,1,2,5,3,12,8,0.0
273,2272,507,Research & Development,1,3,0,3,0,3,14,2,0.0
274,6220,548,Research & Development,2,2,2,3,1,4,17,9,0.0
275,19190,1199,Research & Development,3,1,2,2,1,9,14,13,0.0
276,2809,1322,Research & Development,3,3,0,3,2,2,14,2,0.0
277,15427,1219,Sales,1,4,0,3,2,8,16,7,0.0
278,2662,836,Research & Development,2,4,1,4,8,2,20,4,0.0
279,16835,1117,Sales,1,2,0,3,3,9,23,7,0.0
280,5666,152,Sales,3,4,0,3,1,3,13,3,0.0
281,2742,1107,Human Resources,1,3,0,3,1,2,15,2,1.0
282,8858,796,Research & Development,4,4,0,2,0,8,11,8,0.0
283,9439,334,Research & Development,3,4,1,1,3,3,16,4,0.0
284,4648,1318,Sales,4,4,0,4,8,0,13,0,0.0
285,5810,172,Research & Development,1,4,0,2,1,4,16,8,0.0
286,3485,529,Research & Development,1,3,0,1,2,0,11,0,1.0
287,3681,538,Research & Development,1,4,0,3,4,2,14,2,0.0
288,4647,1410,Sales,4,4,2,3,1,5,20,4,0.0
289,2956,359,Human Resources,4,1,0,3,0,0,17,0,0.0
290,2073,807,Human Resources,3,1,0,3,4,2,22,2,1.0
291,5562,717,Research & Development,3,2,0,3,6,7,14,9,0.0
292,2683,869,Sales,1,3,0,3,1,2,14,2,1.0
293,16792,1195,Research & Development,1,4,1,3,9,8,23,8,0.0
294,4342,829,Sales,3,4,1,3,0,2,19,1,0.0
295,16595,1276,Sales,2,1,1,3,7,16,16,8,0.0
296,2564,1116,Research & Development,3,4,0,2,0,7,14,7,0.0
297,2827,862,Sales,3,1,3,3,1,0,12,0,0.0
298,18722,692,Research & Development,3,2,0,3,8,15,11,15,0.0
299,4883,1089,Research & Development,4,3,1,3,1,4,18,1,1.0
300,10502,966,Research & Development,4,3,1,1,7,4,17,4,0.0
301,2936,1097,Research & Development,3,3,0,3,1,4,11,2,1.0
302,6322,646,Research & Development,1,4,1,2,1,4,12,5,0.0
303,4907,1382,Sales,1,3,1,2,0,3,22,4,0.0
304,2342,1038,Sales,2,4,0,2,0,2,19,2,0.0
305,2367,1404,Research & Development,3,4,1,2,5,1,12,3,0.0
306,2024,691,Research & Development,4,2,1,1,6,2,18,2,0.0
307,2799,1198,Research & Development,3,1,0,3,3,2,11,2,0.0
308,11849,666,Research & Development,1,2,1,2,1,7,12,9,1.0
309,1859,504,Research & Development,1,2,0,4,1,1,25,0,1.0
310,5163,1040,Research & Development,3,4,1,4,5,0,14,0,0.0
311,13402,1369,Research & Development,4,2,1,3,4,16,12,9,0.0
312,3591,1217,Research & Development,3,1,1,3,1,2,25,2,0.0
313,2929,678,Research & Development,2,4,0,3,1,9,12,7,0.0
314,4189,589,Sales,2,2,2,3,1,2,14,3,0.0
315,4193,153,Research & Development,4,3,0,3,0,5,12,8,0.0
316,12061,849,Research & Development,1,2,1,3,3,8,17,1,0.0
317,6781,1332,Research & Development,1,4,0,3,3,0,23,0,0.0
318,5151,867,Research & Development,1,1,1,3,1,0,25,9,0.0
319,8008,711,Research & Development,2,1,2,3,4,2,12,2,0.0
320,10739,1441,Research & Development,3,3,1,3,8,7,11,8,0.0
321,2703,1328,Research & Development,3,2,1,3,0,4,23,4,0.0
322,4294,1283,Sales,3,1,0,3,1,7,12,7,0.0
323,7642,1252,Sales,1,2,0,3,1,0,13,9,0.0
324,2966,1167,Sales,4,3,0,3,0,2,18,0,0.0
325,5915,655,Research & Development,4,4,1,2,3,7,22,7,0.0
326,6870,447,Research & Development,2,2,0,1,3,2,12,2,0.0
327,4286,306,Sales,1,1,2,3,2,1,14,0,1.0
328,17159,589,Research & Development,2,1,1,3,6,1,24,0,0.0
329,11935,986,Research & Development,2,3,0,3,1,2,18,7,0.0
330,7264,231,Sales,3,3,1,4,5,4,11,7,0.0
331,13503,530,Research & Development,3,2,1,2,1,3,22,11,0.0
332,9667,1092,Research & Development,1,3,0,3,9,7,14,2,0.0
333,4404,628,Research & Development,2,3,0,4,2,3,12,2,0.0
334,13212,906,Sales,3,1,3,2,9,7,11,7,0.0
335,6232,1372,Sales,1,3,0,2,2,2,11,2,0.0
336,6272,179,Human Resources,4,1,1,4,7,3,16,3,0.0
337,8998,967,Sales,2,4,0,3,1,8,14,7,0.0
338,5309,430,Research & Development,1,4,2,3,1,8,15,7,0.0
339,5415,147,Research & Development,2,4,1,3,3,7,19,8,0.0
340,5377,1387,Research & Development,2,1,3,3,2,7,13,7,0.0
341,10209,1193,Research & Development,2,3,0,2,5,2,18,2,0.0
342,6430,552,Human Resources,3,2,1,3,6,2,19,2,0.0
343,4621,1277,Research & Development,1,3,3,3,1,2,19,2,0.0
344,2821,1186,Research & Development,3,3,1,3,3,2,16,2,0.0
345,2973,1231,Sales,3,4,1,3,5,4,15,0,0.0
346,3886,1213,Human Resources,2,4,0,2,1,1,21,8,0.0
347,4741,496,Research & Development,1,1,1,3,1,3,13,3,0.0
348,5768,671,Research & Development,3,3,3,2,3,3,17,2,0.0
349,19202,252,Research & Development,3,4,1,3,0,0,11,7,0.0
350,4157,1443,Sales,3,4,1,2,7,2,19,0,0.0
351,8189,802,Sales,3,3,1,3,3,7,13,7,0.0
352,2552,645,Research & Development,3,1,0,3,1,1,25,0,0.0
353,10855,630,Sales,3,4,1,2,7,11,11,11,0.0
354,2544,1096,Research & Development,3,4,1,3,0,7,18,7,0.0
355,5257,559,Research & Development,3,3,1,4,1,7,11,0,0.0
356,1281,727,Research & Development,3,3,2,3,1,0,18,0,0.0
357,16856,621,Sales,3,1,0,4,1,6,11,16,0.0
358,6567,470,Research & Development,3,1,0,2,1,11,14,11,0.0
359,3500,1413,Research & Development,3,3,0,1,0,5,14,3,0.0
360,2258,313,Research & Development,4,4,1,3,7,2,20,2,0.0
361,3375,581,Research & Development,4,3,0,4,0,2,12,2,0.0
362,2322,541,Sales,3,1,1,3,3,0,13,0,0.0
363,14756,836,Research & Development,4,3,3,3,2,0,14,2,0.0
364,14275,102,Research & Development,4,4,0,3,6,9,18,8,0.0
365,5343,669,Research & Development,4,1,0,3,0,9,20,9,0.0
366,2479,289,Research & Development,4,3,0,3,4,0,24,0,1.0
367,7756,618,Research & Development,1,4,0,2,0,2,17,4,0.0
368,8474,829,Research & Development,3,3,0,3,1,8,22,8,0.0
369,3038,120,Research & Development,3,3,0,3,3,4,20,4,0.0
370,5914,1396,Research & Development,4,2,0,4,8,11,16,7,0.0
371,3968,1142,Research & Development,4,3,0,3,4,0,13,0,0.0
372,11957,1162,Research & Development,3,2,2,1,0,8,18,12,0.0
373,4327,1184,Sales,2,2,3,3,5,0,12,0,0.0
374,5674,1105,Research & Development,2,2,1,3,7,8,15,8,0.0
375,1232,391,Research & Development,3,4,0,3,1,0,14,0,0.0
376,5406,301,Sales,4,4,1,2,1,12,24,11,0.0
377,2579,204,Sales,3,3,2,3,1,2,18,6,0.0
378,5410,557,Research & Development,4,1,1,2,6,3,17,2,0.0
379,4809,665,Research & Development,1,3,0,3,1,13,14,10,0.0
380,10883,370,Research & Development,3,4,1,4,3,0,20,0,0.0
381,5204,1383,Human Resources,4,4,2,3,8,4,11,4,0.0
382,3697,549,Research & Development,4,4,2,3,9,9,14,8,0.0
383,2570,786,Research & Development,4,4,0,3,1,7,20,7,0.0
384,5380,1443,Sales,4,1,1,3,4,0,16,0,0.0
385,3479,307,Research & Development,3,2,0,4,0,4,11,4,1.0
386,6861,1035,Sales,2,4,0,3,8,0,12,0,0.0
387,3407,750,Research & Development,2,3,2,2,1,9,17,8,0.0
388,13675,1327,Research & Development,2,3,1,3,9,2,12,2,0.0
389,2659,991,Research & Development,3,4,1,3,1,2,13,2,0.0
390,5405,723,Sales,2,4,2,2,2,2,20,3,0.0
391,4627,1138,Research & Development,1,4,1,3,0,2,12,7,0.0
392,10447,796,Sales,3,3,1,4,0,14,13,5,0.0
393,8500,943,Research & Development,4,4,1,2,0,7,11,6,0.0
394,3506,735,Research & Development,3,3,0,3,0,2,14,2,0.0
395,2341,1240,Research & Development,4,1,1,3,1,0,13,0,0.0
396,12031,722,Sales,2,4,1,2,0,9,11,6,0.0
397,2587,1162,Research & Development,1,4,0,3,1,2,16,0,0.0
398,9679,1373,Research & Development,4,4,0,3,8,0,24,0,0.0
399,4821,691,Research & Development,3,4,1,3,0,2,12,3,0.0
400,3755,443,Research & Development,3,3,1,3,1,3,11,7,0.0
401,2700,1252,Research & Development,3,3,1,3,1,7,24,7,0.0
402,3055,775,Research & Development,4,2,2,2,5,8,15,7,0.0
403,7639,121,Sales,2,4,3,2,1,4,22,9,1.0
404,2362,935,Research & Development,1,1,0,4,4,2,12,2,1.0
405,2368,841,Research & Development,3,2,0,2,1,4,19,3,0.0
406,4051,163,Sales,2,4,1,3,2,7,14,7,0.0
407,4317,364,Research & Development,4,3,0,3,3,2,20,2,0.0
408,5507,335,Sales,3,2,2,1,2,2,16,3,0.0
409,1601,1243,Research & Development,3,1,2,3,1,0,21,0,1.0
410,4025,1378,Research & Development,4,2,1,3,4,3,13,3,0.0
411,13973,939,Research & Development,4,3,1,3,3,11,18,5,0.0
412,7428,1189,Sales,3,4,0,3,2,3,12,3,0.0
413,4617,771,Research & Development,2,3,0,2,1,3,12,2,0.0
414,2109,1398,Human Resources,4,2,0,3,9,2,18,2,0.0
415,7654,1184,Sales,3,4,2,4,1,8,18,7,1.0
416,4444,135,Research & Development,3,2,2,4,4,8,13,10,0.0
417,5993,1102,Sales,2,4,0,1,8,4,11,5,1.0
418,6142,970,Research & Development,2,3,0,3,3,1,11,3,0.0
419,10938,505,Research & Development,3,3,0,3,0,6,25,8,0.0
420,3919,1125,Research & Development,2,1,0,3,1,2,22,7,1.0
